id,teacher_prompt,student_response,response_latency_seconds,attention_label
1,What is the formula for calculating the area of a circle?,"The area of a circle is calculated using the formula A equals pi times r squared, where r is the radius.",3.98,Focused
2,Can you explain Newton's first law of motion?,Objects stay put!,1.36,Impulsive
3,Describe the plot of the story we read yesterday.,"The story followed a young girl who discovered a hidden garden and slowly brought it back to life, which paralleled her own emotional healing.",5.82,Focused
4,How does the human digestive system work?,"The digestive system breaks down food through mechanical and chemical processes starting in the mouth, continuing through the stomach, and nutrients are absorbed in the small intestine.",11.86,Focused
5,What does photosynthesis mean?,"Photosynthesis is the process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of glucose.",6.47,Focused
6,What is the difference between weather and climate?,"Weather refers to short-term atmospheric conditions, while climate describes the long-term average weather patterns of a region.",4.71,Focused
7,What is the formula for calculating the area of a circle?,"I know it has pi in it... my older brother is studying engineering and he uses pi a lot. Wait, is pi 3.14 or something? I think it's a circle thing.",20.05,Distracted
8,Can you tell me what the main cause of World War I was?,"I think it was something about an assassination... oh, speaking of which, did you watch that new documentary? It was really good. Anyway, there were some countries involved.",16.84,Distracted
9,Describe the plot of the story we read yesterday.,"The story followed a young girl who discovered a hidden garden and slowly brought it back to life, which paralleled her own emotional healing.",7.85,Focused
10,How do vaccines work?,Vaccines have something that fights the disease. My mum made me get a flu shot last year and I really didn't want to go. But I didn't get flu so maybe it worked.,23.98,Distracted
11,How do vaccines work?,Trains your immune system!,2.18,Impulsive
12,What do you know about the Civil Rights Movement?,Marches and protests!,1.58,Impulsive
13,Can you explain what a prime number is?,"A prime number is a number greater than one that has no positive divisors other than one and itself, like 2, 3, 5, 7, and 11.",11.29,Focused
14,How does the human digestive system work?,Food goes in your mouth and gets broken down. I was thinking about how weird it is that we eat every day. What did people do before farms existed?,13.34,Distracted
15,Can you explain what a food chain is?,Producers and consumers!,0.81,Impulsive
16,What is the difference between conduction and convection?,"Conduction transfers heat through direct contact between objects, while convection transfers heat through the movement of fluids or gases.",5.7,Focused
17,What is the difference between a simile and a metaphor?,Simile has 'like'!,2.17,Impulsive
18,Can you describe what happens during mitosis?,"During mitosis, the cell duplicates its chromosomes and then divides into two identical daughter cells through phases called prophase, metaphase, anaphase, and telophase.",6.62,Focused
19,What is the difference between a simile and a metaphor?,"Similes use 'like' I think... or is it 'as'? Metaphors are different. Wait, which one is 'her smile was like sunshine'? I can never remember the difference.",17.43,Distracted
20,Can you explain what a metaphor is and give me an example?,A metaphor is like... a comparison? I think? We did this last week and I had it written down but I left my notebook at home today.,15.15,Distracted
